author_name,appears_in,affiliation,author_id
Zhiming Zhou,W4413255237,Xidian University,https://openalex.org/A5100599390
Xiang Meng,W4413255237,Xidian University,https://openalex.org/A5110378298
Jiaming Qian,W4413255237,Nanjing University of Science and Technology,https://openalex.org/A5068105201
Haigang Ma,W4413255237,Nanjing University of Science and Technology,https://openalex.org/A5057141414
Shun Zhou,W4413255237,Nanjing University of Science and Technology,https://openalex.org/A5059215826
Linpeng Lu,W4413255237,Nanjing University of Science and Technology,https://openalex.org/A5072205001
Chao Zuo,W4413255237,Nanjing University of Science and Technology,https://openalex.org/A5061719118
Zihan Geng,W4413255237,Tsinghua University,https://openalex.org/A5047980236
Wei Yi,W4413255237,Massachusetts Institute of Technology,https://openalex.org/A5100339151
Fei Liu,W4413255237,Xidian University,https://openalex.org/A5100394611
Zhan Jingchun,W4404029142,University of Technology Malaysia,https://openalex.org/A5114511059
Goh Eg Su,W4404029142,University of Technology Malaysia,https://openalex.org/A5016327583
Mohd Shahrizal Sunar,W4404029142,University of Technology Malaysia,https://openalex.org/A5038055291
Jie Huang,W4213445562;W4304015075,University of Science and Technology of China,https://openalex.org/A5033737940
Xueyang Fu,W4213445562,University of Science and Technology of China,https://openalex.org/A5079007635
Zeyu Xiao,W4213445562,University of Science and Technology of China,https://openalex.org/A5017155375
Feng Zhao,W4213445562;W4304015075,University of Science and Technology of China,https://openalex.org/A5100401202
Zhiwei Xiong,W4213445562,University of Science and Technology of China,https://openalex.org/A5008612863
Xianglang Wang,W4318767589,Civil Aviation Administration of China,https://openalex.org/A5009757628
Youfang Lin,W4318767589,Civil Aviation Administration of China,https://openalex.org/A5102790320
Shuo Zhang,W4318767589,Civil Aviation Administration of China,https://openalex.org/A5100379616
Yong Wang,W4224903451,Jilin University,https://openalex.org/A5100424371
Wenjie Xie,W4224903451,Jilin University,https://openalex.org/A5101825270
Hongqi Liu,W4224903451,China Aerospace Science and Industry Corporation (China),https://openalex.org/A5101677126
Chu Zhou,W4382240178,Peking University,https://openalex.org/A5023089115
Minggui Teng,W4382240178,Peking University,https://openalex.org/A5087679505
Youwei Lyu,W4382240178,Beijing University of Posts and Telecommunications,https://openalex.org/A5069781278
Si Li,W4382240178,Beijing University of Posts and Telecommunications,https://openalex.org/A5092277203
Chao Xu,W4382240178,Peking University,https://openalex.org/A5100385781
Boxin Shi,W4382240178,Peking University,https://openalex.org/A5038326097
Xicong Wang,W4390871981;W4403780855,Beijing University of Posts and Telecommunications,https://openalex.org/A5104228968
Jiaxuan Wang,W4390871981,Beijing University of Posts and Telecommunications,https://openalex.org/A5100621288
Heng Zhang,W4390871981,,https://openalex.org/A5100373129
Linfeng Tang,W4285819094,Wuhan University,https://openalex.org/A5011864594
Jiayi Ma,W4285819094,Wuhan University,https://openalex.org/A5040010053
Hao Zhang,W4285819094,Wuhan University,https://openalex.org/A5018388825
Xiaojie Guo,W4285819094,Tianjin University,https://openalex.org/A5090356888
Heming Xu,W4394858294,Harbin Institute of Technology,https://openalex.org/A5114124857
Xintong Liu,W4394858294,Harbin Institute of Technology,https://openalex.org/A5100615125
Hanwen Zhang,W4394858294,,https://openalex.org/A5100332172
Xiaohe Wu,W4394858294,Harbin Institute of Technology,https://openalex.org/A5057571532
Wangmeng Zuo,W4394858294,Harbin Institute of Technology,https://openalex.org/A5100636655
Jianhui Wang,W4407264220,University of Electronic Science and Technology of China,https://openalex.org/A5100334403
Yangfan He,W4407264220,University of Minnesota,https://openalex.org/A5100642695
Kun Li,W4407264220,Peking University,https://openalex.org/A5092174433
Sida Li,W4407264220,Peking University,https://openalex.org/A5084886635
Lan Zhao,W4407264220,Institute of Disaster Prevention,https://openalex.org/A5101329263
Jun Yin,W4407264220,University Town of Shenzhen,https://openalex.org/A5019091031
Miao Zhang,W4407264220,University Town of Shenzhen,https://openalex.org/A5058311586
Tianyu Shi,W4407264220,Canada Research Chairs,https://openalex.org/A5101850472
Xueqian Wang,W4407264220;W4367359429,University Town of Shenzhen,https://openalex.org/A5100737125
Xuanhe Li,W4388473692,Jilin University,https://openalex.org/A5089411283
Rui He,W4388473692;W4411264395,Jilin University,https://openalex.org/A5101569756
Jian Wu,W4388473692;W4411264395,Jilin University,https://openalex.org/A5058722802
Xianfeng Chen,W4388473692,,https://openalex.org/A5100674464
Kai Shang,W4393148721,"China University of Petroleum, East China",https://openalex.org/A5103284775
Mingwen Shao,W4393148721,"China University of Petroleum, East China",https://openalex.org/A5072912487
Chao Wang,W4393148721,University of Technology Sydney,https://openalex.org/A5100406948
Yuanshuo Cheng,W4393148721,"China University of Petroleum, East China",https://openalex.org/A5016073217
Shuigen Wang,W4393148721,Medical Technologies (Czechia),https://openalex.org/A5088530627
Wenhao Li,W4385848792,Shanghai Jiao Tong University,https://openalex.org/A5114833077
Guangyang Wu,W4385848792,Shanghai Jiao Tong University,https://openalex.org/A5058670182
Wenyi Wang,W4385848792,University of Electronic Science and Technology of China,https://openalex.org/A5100354895
Peiran Ren,W4385848792,Alibaba Group (China),https://openalex.org/A5081147881
Xiaohong Liu,W4385848792;W4385804965;W4385805190,Shanghai Jiao Tong University,https://openalex.org/A5087407889
Mohammed Y. Abbass,W4406573338,Egyptian Atomic Energy Authority,https://openalex.org/A5003886367
H. Kasban,W4406573338,Egyptian Atomic Energy Authority,https://openalex.org/A5055267514
Zeinab F. Elsharkawy,W4406573338,Egyptian Atomic Energy Authority,https://openalex.org/A5033445281
Xuanhe Li,W4411264395,Jilin University,
Lingyu Yan,W3122692658;W4225402651,Hubei University of Technology,https://openalex.org/A5037591175
Jiarun Fu,W3122692658;W4225402651,Hubei University of Technology,https://openalex.org/A5023112690
Chunzhi Wang,W3122692658,Hubei University of Technology,https://openalex.org/A5103162139
Zhiwei Ye,W3122692658,Hubei University of Technology,https://openalex.org/A5100670242
Hongwei Chen,W3122692658,Hubei University of Technology,https://openalex.org/A5100324853
Hefei Ling,W3122692658;W4225402651,Huazhong University of Science and Technology,https://openalex.org/A5037263298
Yousef Atoum,W3035297694;W2990155364,Yarmouk University,https://openalex.org/A5007188668
Mao Ye,W3035297694,Robert Bosch (United States),https://openalex.org/A5100682785
Liu Ren,W3035297694;W2990155364,Robert Bosch (United States),https://openalex.org/A5103725392
Ying Tai,W3035297694;W2990155364,Tencent (China),https://openalex.org/A5029021362
Xiaoming Liu,W3035297694;W2990155364,Michigan State University,https://openalex.org/A5100409052
Fan Zhang,W3120156752,Shandong Institute of Business and Technology,https://openalex.org/A5100403428
Xin Zhang,W3137277224,Beijing Institute of Technology,https://openalex.org/A5100704259
Xia Wang,W3137277224,Beijing Institute of Technology,https://openalex.org/A5100397932
Wei Huang,W3019450223,Shanghai University,https://openalex.org/A5101399361
Yifeng Zhu,W3019450223,Shanghai University,https://openalex.org/A5101638641
Rui Huang,W3019450223,Shanghai University,https://openalex.org/A5101599320
Qun Yang,W3117435658,Huazhong University of Science and Technology,https://openalex.org/A5022836264
Yubin Wu,W3117435658,Huazhong University of Science and Technology,https://openalex.org/A5100370844
Danhua Cao,W3117435658,Huazhong University of Science and Technology,https://openalex.org/A5026988178
Mandi Luo,W3117435658,Huazhong University of Science and Technology,https://openalex.org/A5064812067
Taoran Wei,W3117435658,Huazhong University of Science and Technology,https://openalex.org/A5102007758
Wenqi Ren,W4220824244;W4385525551,Chinese Academy of Sciences,https://openalex.org/A5057999649
Zafar Ali,W4281737715,Southeast University,https://openalex.org/A5022377161
Inayat Khan,W4281737715,,https://openalex.org/A5067743408
M. Irfan Uddin,W4281737715,Kohat University of Science and Technology,https://openalex.org/A5047672519
Zhihua Hu,W4281737715,Huanggang Normal University,https://openalex.org/A5101518043
Gouranga Mandal,W3155773526,National Institute of Technology Agartala,https://openalex.org/A5089503233
Diptendu Bhattacharya,W3155773526,National Institute of Technology Agartala,https://openalex.org/A5087200438
Parthasarathi De,W3155773526,National Institute of Technology Agartala,https://openalex.org/A5086361094
Shansi Zhang,W3189398023;W3209046234,University of Hong Kong,https://openalex.org/A5022192315
Tian Ma,W3154593388,Xi'an University of Science and Technology,https://openalex.org/A5004691090
Ming Guo,W3154593388,Xi'an University of Science and Technology,https://openalex.org/A5101655272
Zhenhua Yu,W3154593388,Xi'an University of Science and Technology,https://openalex.org/A5059744438
Yanping Chen,W3154593388,Xi’an University of Posts and Telecommunications,https://openalex.org/A5100419627
Xincheng Ren,W3154593388,Yan'an University,https://openalex.org/A5113306072
Runtao Xi,W3154593388,Xi'an University of Science and Technology,https://openalex.org/A5086061958
Yuancheng Li,W3154593388,Xi'an University of Science and Technology,https://openalex.org/A5003555754
Xinlei Zhou,W3154593388,Xi'an University of Science and Technology,https://openalex.org/A5103050367
Shansi Zhang,W3165824405,University of Hong Kong,https://openalex.org/A5070751669
Muhammad Asif,W3093819743,Beijing Institute of Technology,https://openalex.org/A5073131427
Lei Chen,W3093819743,Beijing Institute of Technology,https://openalex.org/A5101441931
Hong Song,W3093819743,Beijing Institute of Technology,https://openalex.org/A5100769854
Jian Yang,W3093819743,Beijing Institute of Technology,https://openalex.org/A5100643476
Alejandro F. Frangi,W3093819743,University of Leeds,https://openalex.org/A5049192404
Yixuan Gao,W4385804965;W4385805190,Shanghai Jiao Tong University,https://openalex.org/A5074317955
Yuqin Cao,W4385804965;W4385805190,Shanghai Jiao Tong University,https://openalex.org/A5101983011
Tengchuan Kou,W4385804965;W4385805190,Shanghai Jiao Tong University,https://openalex.org/A5045384577
Wei Sun,W4385804965,Shanghai Jiao Tong University,https://openalex.org/A5044700284
Yunlong Dong,W4385804965,Shanghai Jiao Tong University,https://openalex.org/A5100554725
Xiongkuo Min,W4385804965;W4385805190,Shanghai Jiao Tong University,https://openalex.org/A5043405654
Guangtao Zhai,W4385804965;W4385805190,Shanghai Jiao Tong University,https://openalex.org/A5064168853
Xiaoqian Lv,W3197180867;W4385626920,Harbin Institute of Technology,https://openalex.org/A5019487727
