author_name,appears_in,affiliation,author_id
Guanhong Tao,W4312329503;W4288057740;W4386066154;W4288057770;W4312877401;W4324007922;W4402727117;W4386072179;W4391725293;W4402264202;W4403905746;W4408565421;W3136316983;W4318751842;W7160265053,Purdue University West Lafayette,https://openalex.org/A5014842586
Guangyu Shen,W4312329503;W4288057740;W4288057770;W4312877401;W4386072179;W4408565421;W3136316983,Purdue University West Lafayette,https://openalex.org/A5114076473
Qiuling Xu,W4312329503;W4288057770;W4386072179,Purdue University West Lafayette,https://openalex.org/A5008082286
Pan Li,W4312329503,Purdue University West Lafayette,https://openalex.org/A5100455174
Shih-Han Chan,W4320736757,University of California San Diego,https://openalex.org/A5047043343
Yinpeng Dong,W4320736757;W3138646989,Beijing Academy of Artificial Intelligence,https://openalex.org/A5068755794
Jun Zhu,W4320736757;W3138646989,Beijing Academy of Artificial Intelligence,https://openalex.org/A5100686240
Xiaolu Zhang,W4320736757,Zhejiang Financial College,https://openalex.org/A5100746437
Jun Zhou,W4320736757,Zhejiang Financial College,https://openalex.org/A5045140292
Weimin Lyu,W4280510162,Stony Brook University,https://openalex.org/A5073186182
Songzhu Zheng,W4280510162,Stony Brook University,https://openalex.org/A5073393494
Tengfei Ma,W4280510162,,https://openalex.org/A5086690079
Chao Chen,W4280510162;W4386065356,Stony Brook University,https://openalex.org/A5100408397
Hewang Nie,W4390658962;W7162341703,Huazhong University of Science and Technology,https://openalex.org/A5051783170
Songfeng Lu,W4390658962,Huazhong University of Science and Technology,https://openalex.org/A5048196007
Junjun Wu,W4390658962,Huazhong University of Science and Technology,https://openalex.org/A5100460435
Zhu Jian-xin,W4390658962,Huazhong University of Science and Technology,https://openalex.org/A5100523132
Shiwei Feng,W4386066154;W4324007922;W4402727117,Purdue University West Lafayette,https://openalex.org/A5107243616
Siyuan Cheng,W4386066154;W4402264202;W4403905746,Purdue University West Lafayette,https://openalex.org/A5101863818
Guangyu Shen,W4386066154;W4324007922;W4402727117;W4402264202;W4403905746,Purdue University West Lafayette,https://openalex.org/A5061171837
Xiangzhe Xu,W4386066154;W4324007922;W4402727117,Purdue University West Lafayette,https://openalex.org/A5036121611
Kaiyuan Zhang,W4386066154;W4402264202;W4403905746,Purdue University West Lafayette,https://openalex.org/A5100649572
Xiangyu Zhang,W4386066154;W4324007922;W4402264202,Purdue University West Lafayette,https://openalex.org/A5100362457
Xingshuo Han,W4304091855;W4402264291;W4390871881,Nanyang Technological University,https://openalex.org/A5011727294
Yuan Zhou,W4304091855;W4402264291,Nanyang Technological University,https://openalex.org/A5083918663
Xuehuan Yang,W4304091855,Nanyang Technological University,https://openalex.org/A5032588043
Jiwei Li,W4304091855;W3215700529,Zhejiang University,https://openalex.org/A5100758099
Ervin Moore,W4386494576,Florida International University,https://openalex.org/A5065701515
Ahmed Imteaj,W4386494576,Southern Illinois University Carbondale,https://openalex.org/A5077711449
Shabnam Rezapour,W4386494576,Florida International University,https://openalex.org/A5079605496
M. Hadi Amini,W4386494576,Florida International University,https://openalex.org/A5032642808
Zhuo Zhang,W4288057770;W4408565421,Purdue University West Lafayette,https://openalex.org/A5100429710
Xiangyu Zhang,W4288057770;W4386072179;W4408565421,Purdue University West Lafayette,https://openalex.org/A5107249133
Zaixi Zhang,W4386072159,University of Science and Technology of China,https://openalex.org/A5063733770
Qi Liu,W4386072159,University of Science and Technology of China,https://openalex.org/A5100453144
Zhicai Wang,W4386072159,University of Science and Technology of China,https://openalex.org/A5102971294
Zepu Lu,W4386072159,University of Science and Technology of China,https://openalex.org/A5069950706
Qingyong Hu,W4386072159,Hong Kong University of Science and Technology,https://openalex.org/A5036921959
Yi Yu,W4386083143;W4402604120,Nanyang Technological University,https://openalex.org/A5102964297
Yufei Wang,W4386083143;W4404132177;W3086120435,Nanyang Technological University,https://openalex.org/A5100374829
Wenhan Yang,W4386083143;W4404810593;W4402604120,Peng Cheng Laboratory,https://openalex.org/A5070884682
Shijian Lu,W4386083143;W4404810593;W4402604120,Nanyang Technological University,https://openalex.org/A5023507910
Yap‐Peng Tan,W4386083143,Nanyang Technological University,https://openalex.org/A5103379503
Alex C. Kot,W4386083143;W4404810593;W4402604120;W4404132177;W4404722473;W3086120435,Nanyang Technological University,https://openalex.org/A5080977911
Hang Wang,W4402288683,,https://openalex.org/A5100459515
Zhen Xiang,W4402288683,,https://openalex.org/A5085283385
David J. Miller,W4402288683,,https://openalex.org/A5105414957
George Kesidis,W4402288683,,https://openalex.org/A5063903486
Shaobo Zhang,W4404418444,Hunan University of Science and Technology,https://openalex.org/A5100657575
Yizhen Pan,W4404418444,Hunan University of Science and Technology,https://openalex.org/A5109521360
Qin Liu,W4404418444,Hunan University,https://openalex.org/A5100432505
Zheng Yan,W4404418444,Xidian University,https://openalex.org/A5078219471
Kim‐Kwang Raymond Choo,W4404418444,The University of Texas at San Antonio,https://openalex.org/A5001746807
Guojun Wang,W4404418444,Guangzhou University,https://openalex.org/A5100386726
Wenyuan Yang,W4388016531,Sun Yat-sen University,https://openalex.org/A5101619232
Shuo Shao,W4388016531,Zhejiang University,https://openalex.org/A5035753510
Yue Yang,W4388016531,Shanghai Jiao Tong University,https://openalex.org/A5100369313
Xiyao Liu,W4388016531,Central South University,https://openalex.org/A5070770063
Ximeng Liu,W4388016531;W4412971470,Central South University,https://openalex.org/A5058120371
Zhihua Xia,W4388016531,Jinan University,https://openalex.org/A5005319671
Gerald Schaefer,W4388016531,Loughborough University,https://openalex.org/A5105462955
Hui Fang,W4388016531,Loughborough University,https://openalex.org/A5046565976
Ying He,W4388206624,Nanjing University of Science and Technology,https://openalex.org/A5038314969
Zhili Shen,W4388206624,Nanjing University of Science and Technology,https://openalex.org/A5083813347
Jingyu Hua,W4388206624,Nanjing University,https://openalex.org/A5101950654
Qixuan Dong,W4388206624,Nanjing University of Science and Technology,https://openalex.org/A5103257772
Jiacheng Niu,W4388206624,Nanjing University of Science and Technology,https://openalex.org/A5109651929
Wei Tong,W4388206624,Nanjing University,https://openalex.org/A5021538603
Xu Huang,W4388206624,,
Chen Li,W4388206624,,https://openalex.org/A5100369950
Sheng Zhong,W4388206624,Nanjing University,https://openalex.org/A5060268538
Zenghui Yuan,W4386066003,Huazhong University of Science and Technology,https://openalex.org/A5014040279
Pan Zhou,W4386066003,Huazhong University of Science and Technology,https://openalex.org/A5100693197
Kai Zou,W4386066003,,https://openalex.org/A5108385543
Yu Cheng,W4386066003,Microsoft Research (United Kingdom),https://openalex.org/A5026746295
Phillip Rieger,W4391724758,University of Würzburg,https://openalex.org/A5051694999
Torsten Krauß,W4391724758,University of Würzburg,https://openalex.org/A5014074984
Markus Miettinen,W4391724758,University of Würzburg,https://openalex.org/A5000013428
Alexandra Dmitrienko,W4391724758,University of Würzburg,https://openalex.org/A5042835341
Ahmad‐Reza Sadeghi,W4391724758,University of Würzburg,https://openalex.org/A5079497016
Yudong Li,W4365807860,Central South University,https://openalex.org/A5100332356
Shigeng Zhang,W4365807860;W4399119905,Central South University,https://openalex.org/A5005250767
Weiping Wang,W4365807860;W4399119905,Central South University,https://openalex.org/A5100442307
Hong Song,W4365807860,Central South University,https://openalex.org/A5056484077
Xinyu Zhang,W4399374631,Zhejiang University,https://openalex.org/A5100390708
Qingyu Liu,W4399374631,Zhejiang University,
Zhongjie Ba,W4399374631,Zhejiang University,https://openalex.org/A5072485378
Yuan Hong,W4399374631,University of Connecticut,https://openalex.org/A5100725148
Tianhang Zheng,W4399374631;W4285267503,Zhejiang University,https://openalex.org/A5091687257
Feng Lin,W4399374631,Zhejiang University,https://openalex.org/A5078406349
Li Lü,W4399374631,Zhejiang University,https://openalex.org/A5100658678
Kui Ren,W4399374631;W4285267503,Zhejiang University,https://openalex.org/A5105297718
Xiaoheng Deng,W4383340358,Central South University,https://openalex.org/A5086816845
Zhe Wang,W4383340358,Central South University,https://openalex.org/A5100775489
Xinjun Pei,W4383340358,Central South University,https://openalex.org/A5081440831
Kaiping Xue,W4383340358,University of Science and Technology of China,https://openalex.org/A5100688242
