author_name,appears_in,affiliation,author_id
Hongjing Niu,W4226313456;W3211646155,University of Science and Technology of China,https://openalex.org/A5056229595
Ziqiang Li,W4226313456;W4285602113;W4403094518;W4412625426;W3211646155,University of Science and Technology of China,https://openalex.org/A5100757234
Bin Li,W4226313456;W4285602113;W4403094518,University of Science and Technology of China,https://openalex.org/A5100365157
Jianbin Ye,W4281645443,National University of Defense Technology,https://openalex.org/A5015924721
Xiaoyuan Liu,W4281645443,National University of Defense Technology,https://openalex.org/A5100605609
Guowei Li,W4281645443,National University of Defense Technology,https://openalex.org/A5087791868
Bo Liu,W4281645443,National University of Defense Technology,https://openalex.org/A5050900731
Zhenzhu Chen,W4285233920;W7168569711,Nanjing University of Science and Technology,https://openalex.org/A5000833104
Shang Wang,W4285233920,Nanjing University of Science and Technology,https://openalex.org/A5100346376
Anmin Fu,W4285233920;W4390577972;W4405183017;W3044223678;W4386880702;W7168569711,Nanjing University of Information Science and Technology,https://openalex.org/A5048592388
Yansong Gao,W4285233920,Nanjing University of Science and Technology,https://openalex.org/A5101863680
Ruitao Hou,W4226322346;W4376139366,Guangzhou University,https://openalex.org/A5036757740
Shan Ai,W4226322346,Guangzhou University,https://openalex.org/A5006616888
Qi Chen,W4226322346,Guangzhou University,https://openalex.org/A5100340130
Hongyang Yan,W4226322346;W4416252102,Guangzhou University,https://openalex.org/A5111123738
Teng Huang,W4226322346,Guangzhou University,https://openalex.org/A5101424450
Kongyang Chen,W4226322346;W4226394973;W3212763423,Guangzhou University,https://openalex.org/A5075512625
Yajie Wang,W4226394973,Beijing Institute of Technology,https://openalex.org/A5100455413
Yu‐an Tan,W4226394973,Beijing Institute of Technology,https://openalex.org/A5003198271
Shuxin Huang,W4226394973,Beijing Institute of Technology,https://openalex.org/A5070424852
Wencong Ma,W4226394973,Beijing Institute of Technology,https://openalex.org/A5074461054
Yuanzhang Li,W4226394973,Beijing Institute of Technology,https://openalex.org/A5026287089
Wei Zhang,W4285602113,University of Science and Technology of China,https://openalex.org/A5100441817
Mengnan Zhao,W4285267503,Dalian University of Technology,https://openalex.org/A5027718772
Bo Wang,W4285267503,Dalian University of Technology,https://openalex.org/A5053298425
Wei Wang,W4285267503,Chinese Academy of Sciences,https://openalex.org/A5100757829
Yuqiu Kong,W4285267503,Dalian University of Technology,https://openalex.org/A5065172324
Sungwon Han,W4390874351,Korea Advanced Institute of Science and Technology,https://openalex.org/A5030123507
Sungwon Park,W4390874351,Korea Advanced Institute of Science and Technology,https://openalex.org/A5100735922
Fangzhao Wu,W4390874351,Microsoft Research Asia (China),https://openalex.org/A5076423724
Bin Zhu,W4390874351,Microsoft Research Asia (China),https://openalex.org/A5081758219
Xing Xie,W4390874351,Microsoft Research Asia (China),https://openalex.org/A5044651577
Meeyoung Cha,W4390874351,Korea Advanced Institute of Science and Technology,https://openalex.org/A5061810530
Wenshu Fan,W4396982204,University of Electronic Science and Technology of China,https://openalex.org/A5097740375
Meng Hao,W4396982204,University of Electronic Science and Technology of China,https://openalex.org/A5078359928
Xiangshan Gao,W4283361424;W3113251160,Zhejiang University,https://openalex.org/A5045161763
Shouling Ji,W4283361424;W3113251160;W3036148123;W4414348474,Zhejiang University,https://openalex.org/A5058611515
Peng Cheng,W4283361424;W3113251160,Zhejiang University,https://openalex.org/A5051951845
Linkun Fan,W4390187915;W7167482655,Wuhan University,https://openalex.org/A5084161986
Fazhi He,W4390187915,Wuhan University,https://openalex.org/A5100660581
Tongzhen Si,W4390187915,Wuhan University,https://openalex.org/A5057635087
Rubin Fan,W4390187915,Wuhan University,https://openalex.org/A5102535240
Chuanlong Ye,W4390187915,Wuhan University,https://openalex.org/A5001257337
Bing Li,W4390187915,Wuhan University,https://openalex.org/A5100451253
Daizong Ding,W4289533826,Fudan University,https://openalex.org/A5014216659
Mi Zhang,W4289533826;W4402288732,Fudan University,https://openalex.org/A5101652939
Yuanmin Huang,W4289533826,Fudan University,https://openalex.org/A5071959369
Xudong Pan,W4289533826;W4402288732,Fudan University,https://openalex.org/A5074846459
Fuli Feng,W4289533826,University of Science and Technology of China,https://openalex.org/A5051925942
Erling Jiang,W4289533826,Fudan University,https://openalex.org/A5075978061
Min Yang,W4289533826;W4402288732,Fudan University,https://openalex.org/A5052437722
Jiaming Zhang,W4386071958;W4382449549;W3176890135,Beijing Jiaotong University,https://openalex.org/A5100453782
Qi Yi,W4386071958;W4382449549,Beijing Jiaotong University,https://openalex.org/A5101413852
Jitao Sang,W4386071958;W4382449549;W4408182524;W3176890135;W4395455145;W4415049231,Beijing Jiaotong University,https://openalex.org/A5023834030
Yu–Gang Jiang,W4386071958;W4413966860;W3121355610,Fudan University,https://openalex.org/A5047962986
Changsheng Xu,W4386071958,Chinese Academy of Sciences,https://openalex.org/A5101552487
Mohammad Sabokrou,W4402727728,Okinawa Institute of Science and Technology Graduate University,https://openalex.org/A5012207220
Wei Jiang,W4294982857;W4408998867,University of Electronic Science and Technology of China,https://openalex.org/A5101460603
Xiangyu Wen,W4294982857;W4408998867,University of Electronic Science and Technology of China,https://openalex.org/A5054813950
Jinyu Zhan,W4294982857;W4408998867,University of Electronic Science and Technology of China,https://openalex.org/A5082893987
Xupeng Wang,W4294982857,University of Electronic Science and Technology of China,https://openalex.org/A5018927991
Ziwei Song,W4294982857,University of Electronic Science and Technology of China,https://openalex.org/A5019374620
Chen Bian,W4294982857,University of Electronic Science and Technology of China,https://openalex.org/A5047808228
Xu Sun,W4385573287,Peking University,https://openalex.org/A5111863979
Bingxu Mu,W4386071506,Xi'an Jiaotong University,https://openalex.org/A5020975592
Zhenxing Niu,W4386071506;W4395056508,Xidian University,https://openalex.org/A5113948735
Qiguang Mia,W4386071506,Xidian University,https://openalex.org/A5092675597
Hong Zhu,W4384948583;W4414603391,Chinese Academy of Sciences,https://openalex.org/A5103837552
Kaidi Jin,W4288391221,Xi'an Jiaotong University,https://openalex.org/A5006308815
Chao Shen,W4288391221;W4416148980,Xi'an Jiaotong University,https://openalex.org/A5101843177
Ming Fan,W4288391221,Chongqing University,https://openalex.org/A5100692958
Chenhao Lin,W4288391221;W4416148980,Xi'an Jiaotong University,https://openalex.org/A5046723920
Ting Liu,W4288391221,Xi'an Jiaotong University,https://openalex.org/A5101554099
Yinghao Wu,W4388838066,Nanjing University of Aeronautics and Astronautics,https://openalex.org/A5072973227
